tag	data
0	Aggregated or Non-identifiable Data: 
1	We may also share aggregated or non-personally identifiable information with our partners or others for business purposes.
0	UNSOLICITED INFORMATION
0	"You may provide us with ideas for new products or modifications to existing products, and other unsolicited submissions (collectively, “Unsolicited Information”)."
0	"All Unsolicited Information shall be deemed to be non-confidential and we shall be free to reproduce, use, disclose, and distribute such Unsolicited Information to others without limitation or attribution."
0	LINKS TO OTHER WEB SITES
0	This Privacy Policy applies only to the Services. 
0	The Services may contain links to other web sites not operated or controlled by us (the “Third Party Sites”).
1	The policies and procedures we described here do not apply to the Third Party Sites. 
1	The links from the Services do not imply that we endorse or have reviewed the Third Party Sites. 
1	We suggest contacting those sites directly for information on their privacy policies.
0	DATA RETENTION
0	We generally retain personal data for so long as it may be relevant to the purposes identified herein. 
0	"To dispose of personal data, we may anonymize it, delete it or take other appropriate steps. "
0	Data may persist in copies made for backup and business continuity purposes for additional time.
0	SECURITY
0	"We take reasonable steps to protect the information provided via the Services from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. "
0	"However, no Internet or email transmission is ever fully secure or error free."
0	"In particular, email sent to or from the Services may not be secure."
0	"Therefore, you should take special care in deciding what information you send to us via email. "
0	Please keep this in mind when disclosing any information via the Internet.
0	YOUR DATA RIGHTS AND CHOICES
0	"We believe that users should be treated equally no matter where they are, and so we are making the following options to control your data available to all users, regardless of their location."
0	You can update certain information by accessing your profile via “Settings.” 
0	You can also unsubscribe from certain emails by clicking the “unsubscribe” link they contain.
0	You can opt out from certain cookie-related processing by following the instructions above in “Other Information.”
0	How can I access the personal data you have about me?
0	"If you would like to submit a data access request, you can do so from the “Settings” page of the Services, where there is a button to download your data. "
0	We will then start the process and provide you a link to access the personal data that Discord has on you within 30 days.
0	"How do I correct, update, amend, or delete the personal data you have about me?"
0	"In addition to the functionality available through the “Settings” of the Services, in which you can correct, update, amend, or delete certain personal data, you can also request other modifications from us directly."
0	"Please write us at privacy@discord.com with the words “Personal Data Request” in the subject or body of your message, along with an explanation of what data subject right you are seeking to exercise. "
0	"For your protection, we may take steps to verify identity before responding to your request."
0	How do I object or restrict the manner in which Discord processes my personal data?
0	"You have a right to ask us to stop using or limit our use of your personal data in certain circumstances—for example, if we have no lawful basis to keep using your data, or if you think your personal data is inaccurate."
0	"Discord offers you the ability to restrict the processing of your data for specific uses, which you can find in the “Settings” page of the services."
0	 Individuals in the European Economic Area have the right to opt out of all of our processing of their personal data for direct marketing purposes. 
0	"To exercise this right, please see the “Settings” page for your Account."
0	You may also click the “unsubscribe” link in any of our marketing emails.
0	The rights and options described above are subject to limitations and exceptions under applicable law. 
0	"In addition to those rights, you have the right to lodge a complaint with the relevant supervisory authority."
0	"However, we encourage you to contact us first, and we will do our very best to resolve your concern."
