tag	text
1	"We may use personal data for testing, research, analysis, product development, and machine learning to improve the user experience. "
0	"This helps us make our services more convenient and easy-to-use, enhance the safety and security of our services, and develop new services and features."
0	5. Enabling communications between users.
0	"For example, a driver may message or call a rider to confirm a pickup location, a rider may contact a driver to retrieve a lost item, or a restaurant or delivery person may call a delivery recipient with information about their order."
1	6. Marketing.
1	Uber may use personal data to market our services to our users. 
1	"This includes sending users communications about Uber services, features, promotions, sweepstakes, studies, surveys, news, updates, and events. "
1	"We may do so through various methods, including email, text messages, push notifications, in app communications and ads, and ads on third party platforms."
1	We may also inform users about products and services offered by Uber partners. 
0	7. Non-marketing communications.
0	"Uber may use personal data to generate and provide users with receipts; inform them of changes to our terms, services, or policies; or send other communications that aren’t for the purpose of marketing the services or products of Uber or its partners."
0	8. Legal proceedings and requirements.
0	"We may use personal data to investigate or address claims or disputes relating to use of Uber’s services, to satisfy requirements under applicable laws, regulations, or operating licenses or agreements, or pursuant to legal process or governmental request, including from law enforcement."
0	C. Cookies and third-party technologies
0	"Uber and its partners use cookies and other identification technologies on our apps, websites, emails, and online ads for purposes described in this notice, and Uber’s Cookie Notice."
0	"Cookies are small text files that are stored on browsers or devices by websites, apps, online media, and advertisements. Uber uses cookies and similar technologies for purposes such as:"
0	authenticating users
0	remembering user preferences and settings
0	determining the popularity of content
0	delivering and measuring the effectiveness of advertising campaigns
0	D. Data sharing and disclosure
0	1. With other users
0	This includes sharing:
0	"riders’ first name, rating, and pickup and/or dropoff locations with drivers"
0	riders’ first name with other riders in a carpool trip. Riders in carpool trips may also see the dropoff location of the other riders.
0	"delivery recipients’ first name, delivery address, and order information with their delivery person and restaurant or merchant. We may also share ratings and feedback, or other information to the extent required by law, with the restaurant partner and delivery person."
0	2. At the user’s request
0	This includes sharing data with:
0	Other people at the user’s request.
0	"For example, we share a user’s ETA and location with a friend when requested by that user, or a user’s trip information when they split a fare with a friend"
0	3. With the general public
0	"Questions or comments from users submitted through public forums such as Uber blogs and Uber social media pages may be viewable by the public, including any personal data included in the questions or comments submitted by a user."
0	4. With the Uber account owner
0	"If a user requests transportation or places an order using an account owned by another party, we may share their order or trip information, including location data, with the owner of that account. This occurs, for example, when:"
0	5. With Uber subsidiaries and affiliates
1	6. With Uber service providers and business partners
0	"Uber provides personal data to vendors, consultants, marketing partners, research firms, and other service providers or business partners. These include:"
0	payment processors and facilitators
0	background check and identity verification providers
0	cloud storage providers
0	7. For legal reasons or in the event of a dispute
0	"Uber may share users’ personal data if we believe it’s required by applicable law, regulation, operating license or agreement, legal process or governmental request, or where the disclosure is otherwise appropriate due to safety or similar concerns."
0	"This includes sharing personal data with law enforcement officials, public health officials, other government authorities, airports (if required by the airport authorities as a condition of operating on airport property), or other third parties as necessary to enforce our Terms of Service, user agreements, or other policies; to protect Uber’s rights or property or the rights, safety, or property of others; or in the event of a claim or dispute relating to the use of our services."
0	8. With consent
0	Uber may share a user’s personal data other than as described in this notice if we notify the user and they consent to the sharing.
