tag	text
0	"Examples include fulfilling orders for products or services, delivering packages, sending postal mail and email, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service."
1	"These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes."
0	"Business Transfers: As we continue to develop our business, we might sell or buy other businesses or services."
1	"In such transactions, customer information generally is one of the transferred business assets but remains subject to the promises made in any pre-existing Privacy Notice (unless, of course, the customer consents otherwise)."
1	"Also, in the unlikely event that Amazon.com, Inc. or substantially all of its assets are acquired, customer information will of course be one of the transferred assets."
1	"Protection of Amazon and Others: We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others."
1	This includes exchanging information with other companies and organizations for fraud protection and credit risk reduction.
1	"Other than as set out above, you will receive notice when personal information about you might be shared with third parties, and you will have an opportunity to choose not to share the information."
0	We design our systems with your security and privacy in mind.
1	We work to protect the security of your personal information during transmission by using encryption protocols and software.
0	We follow the Payment Card Industry Data Security Standard (PCI DSS) when handling credit card data.
1	"We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of customer personal information."
1	Our security procedures mean that we may ask to verify your identity before we disclose personal information to you.
0	Our devices offer security features to protect them against unauthorized access and loss of data.
0	You can control these features and configure them based on your needs.
0	Click here for more information on how to manage the security settings of your device.
0	"It is important for you to protect against unauthorized access to your password and to your computers, devices, and applications."
0	We recommend using a unique password for your Amazon account that is not used for other online accounts.
0	Be sure to sign off when finished using a shared computer.
0	Click here for more information on how to sign off.
0	Third-Party Advertisers and Links to Other Websites: Amazon Services may include third-party advertising and links to other websites and apps.
0	"Third-party advertising partners may collect information about you when you interact with their content, advertising, and services."
0	"For more information about third-party advertising at Amazon, including interest-based ads, please read our Interest-Based Ads notice."
0	"To adjust your advertising preferences, please go to the Advertising Preferences page."
0	Use of Third-Party Advertising Services: We provide ad companies with information that allows them to serve you with more useful and relevant Amazon ads and to measure their effectiveness.
1	We never share your name or other information that directly identifies you when we do this.
0	"Instead, we use an advertising identifier like a cookie or other device identifier."
1	"For example, if you have already downloaded one of our apps, we will share your advertising identifier and data about that event so that you will not be served an ad to download the app again."
1	Some ad companies also use this information to serve you relevant ads from other advertisers.
0	You can learn more about how to opt-out of interest-based advertising by going to the Advertising Preferences page.
1	"You can access your information, including your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the ""Your Account"" section of the website."
0	Click here for a list of examples that you can access.
1	"If you have any questions as to how we collect and use your personal information, please contact our Customer Service."
1	Many of our Amazon Services also include settings that provide you with options as to how your information is being used.
1	"As described above, you can choose not to provide certain information, but then you might not be able to take advantage of many of the Amazon Services."
0	You can add or update certain information on pages such as those referenced in What Information Can I Access?.
1	"When you update information, we usually keep a copy of the prior version for our records."
0	"If you do not want to receive email or other communications from us, please adjust your Customer Communication Preferences."
0	"If you don't want to receive in-app notifications from us, please adjust your notification settings in the app or device."
0	"If you do not want to see interest-based ads, please adjust your Advertising Preferences."
0	"The Help feature on most browsers and devices will tell you how to prevent your browser or device from accepting new cookies or other identifiers, how to have the browser notify you when you receive a new cookie, or how to block cookies altogether."
0	"Because cookies and identifiers allow you to take advantage of some essential features of Amazon Services, we recommend that you leave them turned on."
0	"For instance, if you block or otherwise reject our cookies, you will not be able to add items to your Shopping Cart, proceed to Checkout, or use any Services that require you to Sign in."
0	"For more information about cookies and other identifiers, see our Cookies Notice."
1	"If you want to browse our websites without linking the browsing history to your account, you may do so by logging out of your account here and blocking cookies on your browser."
0	"You can manage the recommendations you receive in our store here, remove recommendations you don¡¦t want to see here by selecting View All and Manage then selecting the Remove Items toggle that appears at the top of the page, and edit your browsing history here."
0	"You will also be able to opt out of certain other types of data usage by updating your settings on the applicable Amazon website (e.g., in ""Manage Your Content and Devices""), device, or application."
0	For more information click here.
0	"Most non-Amazon devices also provide users with the ability to change device permissions (e.g., disable/access location services, contacts)."
0	"For most devices, these controls are located in the device's settings menu."
0	"If you have questions about how to change your device permissions on devices manufactured by third parties, we recommend you contact your mobile service carrier or your device manufacturer."
1	"If you are a seller, you can add or update certain information in Seller Central, update your account information by accessing your Seller Account Information, and adjust your email or other communications you receive from us by updating your Notification Preferences."
0	"If you are an author, you can add or update the information you have provided in the Author Portal and Author Central by accessing your accounts in the Author Portal and Author Central, respectively."
1	"In addition, to the extent required by applicable law, you may have the right to request access to or delete your personal information."
0	"If you wish to do any of these things, please contact Customer Service."
0	"Depending on your data choices, certain services may be limited or unavailable."
0	Amazon does not sell products for purchase by children.
0	We sell children's products for purchase by adults.
0	"If you are under 18, you may use Amazon Services only with the involvement of a parent or guardian."
1	We do not knowingly collect personal information from children under the age of 13 without the consent of the child's parent or guardian.
1	"For more information, please see our Children's Privacy Disclosure."
0	"EU-US and Swiss-US Privacy Shield\nAmazon.com, Inc. participates in the EU-US and Swiss-US Privacy Shield frameworks."
0	Click here to learn more.
0	California Consumer Privacy Act\nClick here to read additional disclosures required under the California Consumer Privacy Act.
1	"identifying information such as your name, address, and phone numbers."
1	payment information.
1	your age.
1	your location information.
1	your IP address.
1	"people, addresses and phone numbers listed in your Addresses."
1	email addresses of your friends and other people.
1	content of reviews and emails to us.
1	personal description and photograph in Your Profile.
1	voice recordings when you speak to Alexa.
1	images and videos collected or stored in connection with Amazon Services.
1	"information and documents regarding identity, including Social Security and driver's license numbers."
1	corporate and financial information.
1	credit history information.
1	"and device log files and configurations, including Wi-Fi credentials, if you choose to automatically synchronize them with your other Amazon devices."
0	search or shop for products or services in our stores.
0	"add or remove an item from your cart, or place an order through or use Amazon Services."
0	"download, stream, view, or use content on a device or through a service or application on a device."
0	provide information in Your Account (and you might have more than one if you have used more than one email address or mobile number when shopping with us) or Your Profile.
0	talk to or otherwise interact with our Alexa Voice service.
0	upload your contacts.
0	"configure your settings on, provide data access permissions for, or interact with an Amazon device or service."
0	"provide information in your Seller Account , Kindle Direct Publishing account , Developer account , or any other account we make available that allows you to develop or offer software, goods, or services to Amazon customers."
0	offer your products or services on or through Amazon Services.
0	"communicate with us by phone, email, or otherwise."
0	"complete a questionnaire, a support ticket, or a contest entry form."
0	"upload or stream images, videos or other files to Prime Photos, Amazon Drive, or other Amazon Services."
0	use our services such as Prime Video.
0	"compile Playlists, Watchlists, Wish Lists or other gift registries."
0	participate in Discussion Boards or other community features.
0	provide and rate Reviews.
0	specify a Special Occasion Reminder.
0	"employ Product Availability Alerts , such as Available to Order Notifications."
1	the internet protocol (IP) address used to connect your computer to the internet.
1	"login, email address, and password."
1	the location of your device or computer.
1	"content interaction information, such as content downloads, streams, and playback details, including duration and number of simultaneous streams and downloads, and network details for streaming and download quality, including information about your internet service provider."
1	"device metrics such as when a device is in use, application usage, connectivity data, and any errors or event failures."
1	"Amazon Services metrics (e.g., the occurrences of technical errors, your interactions with service features and content, your settings preferences and backup information, location of your device running an application, information about uploaded images and files such as the file name, dates, times and location of your images)."
1	version and time zone settings.
1	"purchase and content use history, which we sometimes aggregate with similar information from other customers to create features like Top Sellers."
1	"the full Uniform Resource Locator (URL) clickstream to, through, and from our websites, including date and time; products and content you viewed or searched for; page response times, download errors, length of visits to certain pages, and page interaction information (such as scrolling, clicks, and mouse-overs)."
1	phone numbers used to call our customer service number.
1	"images or videos when you shop in our stores, or stores using Amazon Services."
1	"updated delivery and address information from our carriers or other third parties, which we use to correct our records and deliver your next purchase or communication more easily."
1	"account information, purchase or redemption information, and page-view information from some merchants with which we operate co-branded businesses or for which we provide technical, fulfillment, advertising, or other services."
1	information about your interactions with products and services offered by our subsidiaries.
1	"search results and links, including paid listings (such as Sponsored Links)."
1	information about internet-connected devices and services linked with Alexa.
1	"credit history information from credit bureaus, which we use to help prevent and detect fraud and to offer certain credit or financial services to some customers."
1	"updated delivery and address information from our carriers or other third parties, which we use to correct our records and deliver your next purchase or communication more easily."
1	"account information, purchase or redemption information, and page-view information from some merchants with which we operate co-branded businesses or for which we provide technical, fulfillment, advertising, or other services."
1	information about your interactions with products and services offered by our subsidiaries.
1	"search results and links, including paid listings (such as Sponsored Links)."
1	information about internet-connected devices and services linked with Alexa.
1	"credit history information from credit bureaus, which we use to help prevent and detect fraud and to offer certain credit or financial services to some customers."
